timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773698273.234769112,237.913820057,528994304,483180544,536870912,0,9468,0,0,0,527687680,0,130925,7,268435456
1773698275.249920741,239.928971686,529264640,483180544,536870912,0,9519,0,0,0,527695872,0,130927,7,268435456
1773698277.264313774,241.943364719,529539072,483180544,536870912,0,9587,0,0,0,527970304,0,130994,7,268435456
1773698279.278838027,243.957888972,529809408,483180544,536870912,0,9638,0,0,0,528236544,0,131059,7,268435456
1773698281.294069958,245.973120903,529563648,483180544,536870912,0,9689,0,0,0,528252928,0,131063,7,268435456
1773698283.308733874,247.987784819,529575936,483180544,536870912,0,9740,0,0,0,528269312,0,131067,7,268435456
1773698285.323438110,250.002489055,529588224,483180544,536870912,0,9791,0,0,0,528277504,0,131069,7,268435456
1773698287.337695815,252.016746760,529600512,483180544,536870912,0,9842,0,0,0,528293888,0,131073,7,268435456
1773698289.355319930,254.034370875,529874944,483180544,536870912,0,9910,0,0,0,528564224,0,131139,7,268435456
1773698291.376778318,256.055829263,529879040,483180544,536870912,0,9927,0,0,0,528572416,0,131141,7,268435456
1773698293.395061384,258.074112329,530149376,483180544,536870912,0,9978,0,0,0,528838656,0,131206,7,268435456
1773698295.411886127,260.090937072,530161664,483180544,536870912,0,10029,0,0,0,528846848,0,131208,7,268435456
1773698297.426982404,262.106033349,530178048,483180544,536870912,0,10097,0,0,0,528863232,0,131212,7,268435456
1773698299.450064592,264.129115537,530448384,483180544,536870912,0,10148,0,0,0,528879616,0,131216,7,268435456
1773698301.471260401,266.150311346,530202624,483180544,536870912,0,10199,0,0,0,528883712,0,131217,7,268435456
1773698303.485384905,268.164435850,530214912,483180544,536870912,0,10250,0,0,0,528900096,0,131221,7,268435456
1773698305.499622320,270.178673265,530227200,483180544,536870912,0,10301,0,0,0,528908288,0,131223,7,268435456
1773698307.514195330,272.193246275,530239488,483180544,536870912,0,10352,0,0,0,528924672,0,131227,7,268435456
1773698309.528704895,274.207755840,530509824,483180544,536870912,0,10403,0,0,0,529199104,0,131294,7,268435456
1773698311.543043076,276.222094021,530526208,483180544,536870912,0,10471,0,0,0,529203200,0,131295,7,268435456
1773698313.557118387,278.236169332,530538496,483180544,536870912,0,10522,0,0,0,529223680,0,131300,7,268435456
1773698315.571638852,280.250689797,530550784,483180544,536870912,0,10573,0,0,0,529231872,0,131302,7,268435456
1773698317.586239921,282.265290866,530821120,483180544,536870912,0,10624,0,0,0,529506304,0,131369,7,268435456
1773698319.600161821,284.279212766,530833408,483180544,536870912,0,10675,0,0,0,529522688,0,131373,7,268435456
1773698321.614084959,286.293135904,531103744,483180544,536870912,0,10726,0,0,0,529530880,0,131375,7,268435456
1773698323.628186244,288.307237189,531374080,483180544,536870912,0,10777,0,0,0,530059264,0,131504,7,268435456
1773698325.642516306,290.321567251,531644416,483180544,536870912,0,10828,0,0,0,530071552,0,131507,7,268435456
1773698327.656890269,292.335941214,531656704,483180544,536870912,0,10879,0,0,0,530337792,0,131572,7,268435456
1773698329.671278326,294.350329271,532185088,483180544,536870912,0,10930,0,0,0,530350080,0,131575,7,268435456
1773698331.685470529,296.364521474,531939328,483180544,536870912,0,10981,0,0,0,530358272,0,131577,7,268435456
1773698333.699611683,298.378662628,532467712,483180544,536870912,0,11032,0,0,0,530628608,0,131643,7,268435456
1773698335.713979192,300.393030137,532217856,483180544,536870912,0,11066,0,0,0,530903040,0,131710,7,268435456
1773698337.728736186,302.407787131,532488192,483180544,536870912,0,11117,0,0,0,531169280,0,131775,7,268435456
1773698339.742990540,304.422041485,532500480,483180544,536870912,0,11168,0,0,0,531181568,0,131778,7,268435456
1773698341.757323271,306.436374216,532770816,483180544,536870912,0,11219,0,0,0,531451904,0,131844,7,268435456
1773698343.771832742,308.450883687,533041152,483180544,536870912,0,11270,0,0,0,531464192,0,131847,7,268435456
1773698345.786307668,310.465358613,532795392,483180544,536870912,0,11321,0,0,0,531476480,0,131850,7,268435456
1773698347.800743141,312.479794086,532807680,483180544,536870912,0,11372,0,0,0,531488768,0,131853,7,268435456
1773698349.815677192,314.494728137,532815872,483180544,536870912,0,11406,0,0,0,531496960,0,131855,7,268435456
1773698351.830123008,316.509173953,532828160,483180544,536870912,0,11457,0,0,0,531513344,0,131859,7,268435456
1773698353.844425329,318.523476274,532840448,483180544,536870912,0,11508,0,0,0,531521536,0,131861,7,268435456
1773698355.860257807,320.539308752,533110784,483180544,536870912,0,11559,0,0,0,531533824,0,131864,7,268435456
1773698357.874812820,322.553863765,533123072,483180544,536870912,0,11610,0,0,0,531804160,0,131930,7,268435456
1773698359.892542526,324.571593471,533135360,483180544,536870912,0,11661,0,0,0,531816448,0,131933,7,268435456
1773698361.908572023,326.587622968,533405696,483180544,536870912,0,11712,0,0,0,531828736,0,131936,7,268435456
1773698363.922954997,328.602005942,533417984,483180544,536870912,0,11763,0,0,0,532094976,0,132001,7,268435456
1773698365.937450025,330.616500970,533684224,483180544,536870912,0,11797,0,0,0,532107264,0,132004,7,268435456
1773698367.952019696,332.631070641,533696512,483180544,536870912,0,11848,0,0,0,532373504,0,132069,7,268435456
1773698369.966164887,334.645215832,533708800,483180544,536870912,0,11899,0,0,0,532385792,0,132072,7,268435456
1773698371.980800093,336.659851038,533716992,483180544,536870912,0,11933,0,0,0,532398080,0,132075,7,268435456
1773698374.003175359,338.682226304,533729280,483180544,536870912,0,11984,0,0,0,532406272,0,132077,7,268435456
